id,survey_line_id,answer,user_id
1,1,5,1
2,2,4,1
3,3,4,1
4,4,2,1
5,5,3,1
6,6,3,1
7,7,2,1
8,8,1,1
9,9,4,1
10,10,1,1
11,11,1,1
12,1,2,2
13,2,3,2
14,3,2,2
15,4,1,2
16,5,5,2
17,6,3,2
18,7,1,2
19,8,5,2
20,9,4,2
21,10,2,2
22,11,1,2
23,1,3,3
24,2,3,3
25,3,2,3
26,4,4,3
27,5,5,3
28,6,3,3
29,7,2,3
30,8,2,3
31,9,5,3
32,10,3,3
33,11,1,3
34,1,3,4
35,2,3,4
36,3,1,4
37,4,1,4
38,5,1,4
39,6,5,4
40,7,5,4
41,8,2,4
42,9,1,4
43,10,3,4
44,11,4,4
45,1,2,5
46,2,1,5
47,3,4,5
48,4,3,5
49,5,2,5
50,6,3,5
51,7,1,5
52,8,3,5
53,9,1,5
54,10,4,5
55,11,4,5
56,1,5,6
57,2,1,6
58,3,3,6
59,4,5,6
60,5,5,6
61,6,1,6
62,7,3,6
63,8,5,6
64,9,1,6
65,10,2,6
66,11,5,6
67,1,2,7
68,2,1,7
69,3,5,7
70,4,1,7
71,5,4,7
72,6,4,7
73,7,5,7
74,8,1,7
75,9,5,7
76,10,2,7
77,11,5,7
78,1,3,8
79,2,2,8
80,3,3,8
81,4,4,8
82,5,1,8
83,6,4,8
84,7,3,8
85,8,4,8
86,9,1,8
87,10,3,8
88,11,3,8
